Year,District,Male,Female,Total
1991,Koch Bihar,10480,28120,38600
2001,Koch Bihar,1151089,1092361,1433074
2011,Koch Bihar,1374235,1276128,2650363
1991,Jalpaiguri,37617,50289,87906
2001,Jalpaiguri,1549199,1472081,3021280
2011,Jalpaiguri,1816728,1722026,3538754
1991,Darjiling,028002,031573,0059575
2001,Darjiling,736779,696295,1433074
2011,Darjiling,842487,806875,1649362
1991,West Dinajpur,33890,21252,55142
2001,West Dinajpur,682944,654404,1337348
2011,West Dinajpur,801456,763946,1565402
1991,Maldah,15850,36274,52124
2001,Maldah,1624898,1519896,3144794
2011,Maldah,2001428,1860864,3862292
1991,Murshidabad,27190,103381,130571
2001,Murshidabad,2968557,2817612,5786169
2011,Murshidabad,3600953,3432494,7033447
1991,Nadia,50833,133835,184668
2001,Nadia,2041746,1947254,3989000
2011,Nadia,2428696,2298595,4727291
1991,North Twenty Four Parganas,123700,198255,321955
2001,North Twenty Four Parganas,3945768,3720121,7665889
2011,North Twenty Four Parganas,4574331,4382136,8956467
1991,South Twenty Four Parganas,71708,133159,204867
2001,South Twenty Four Parganas,3467879,3267817,6735696
2011,South Twenty Four Parganas,4083199,3909280,7992479
1991,Calcutta,98300,95113,193413
2001,Calcutta,2080786,1841290,3922076
2011,Calcutta,2072178,1937631,4009809
1991,Haora,50248,125552,175800
2001,Haora,2066402,1932129,3998531
2011,Haora,2361742,2241183,4602925
1991,Hugli,75430,184666,260096
2001,Hugli,2382752,2299260,4682012
2011,Hugli,2644369,2552952,5197321
1991,Medinipur,0045762,0147204,0192966
2001,Medinipur,4868233,4605582,9473815
2011,Medinipur,5605421,5285801,10891222
1991,Bankura,21929,111573,133502
2001,Bankura,1624541,1542673,3167214
2011,Bankura,1829362,1743543,3572905
1991,Puruliya,17860,52405,70265
2001,Puruliya,1281770,1151730,2433500
2011,Puruliya,1483276,1320665,2803941
